"species","latitude","longitude","source"
"Bombus terrestris",46.518635,6.600373,"gbif"
"Bombus terrestris",46.294595,7.523525,"gbif"
"Bombus terrestris",46.8496233333,9.5317536117,"inat"
"Bombus terrestris",46.5191388889,6.6423083333,"inat"
"Bombus terrestris",47.4896596508,7.6158706471,"inat"
"Bombus terrestris",46.2392233333,6.124395,"inat"
"Bombus terrestris",47.4311224444,8.0197951667,"inat"
"Bombus terrestris",47.3069858425,7.8305690683,"inat"
"Bombus terrestris",46.9519,7.4610466667,"inat"
"Bombus terrestris",47.3913416667,8.5358283333,"inat"
"Bombus terrestris",46.5448116667,6.603255,"inat"
"Bombus terrestris",46.7591388889,7.6337611111,"inat"
"Bombus terrestris",47.3212529487,8.5823741068,"inat"
"Bombus terrestris",46.2342610186,9.113192637,"inat"
"Bombus terrestris",47.6625750064,8.7449133396,"inat"
"Bombus terrestris",46.5143075271,6.4865295168,"inat"
"Bombus terrestris",47.3192022,8.51287,"inat"
"Bombus terrestris",47.1055755615,7.3380408287,"inat"
"Bombus terrestris",46.7792797842,7.7106399795,"inat"
"Bombus terrestris",46.5330283333,6.648625,"inat"
"Bombus terrestris",46.6847999199,7.7819399536,"inat"
"Bombus terrestris",47.4886784997,8.5935517,"inat"
"Bombus terrestris",46.5189029893,6.642303673,"inat"
"Bombus terrestris",47.5702228311,7.6505124787,"inat"
"Bombus terrestris",46.9131222222,7.4462416667,"inat"
"Bombus terrestris",47.5235425338,7.5680673122,"inat"
"Bombus terrestris",47.2722303947,8.3532917691,"inat"
"Bombus terrestris",46.8947366667,7.5265283333,"inat"
"Bombus terrestris",47.3938811433,7.858587382,"inat"
"Bombus terrestris",46.9868749486,8.3991890028,"inat"
"Bombus terrestris",46.8423621997,6.6813747,"inat"
"Bombus terrestris",46.1359055556,8.8184027778,"inat"
"Bombus terrestris",46.124078669,7.0834553818,"inat"
"Bombus terrestris",47.3233416667,8.5938783333,"inat"
"Bombus terrestris",47.2572166667,8.7070166667,"inat"
"Bombus terrestris",47.3462,8.285475,"inat"
"Bombus terrestris",46.4326381716,6.1328040635,"inat"
"Bombus terrestris",47.3502713858,8.7097881362,"inat"
"Bombus terrestris",47.4897228593,7.6157821342,"inat"
"Bombus terrestris",46.7928394997,7.1560566997,"inat"
"Bombus terrestris",47.0806708373,7.8258280177,"inat"
"Bombus terrestris",47.1395743,7.3747968,"inat"
"Bombus terrestris",47.3807,8.6276166667,"inat"
"Bombus terrestris",47.438055,9.1376055,"inat"
"Bombus terrestris",47.3211306784,8.5826788576,"inat"
"Bombus terrestris",47.4450866667,9.1418111667,"inat"
"Bombus terrestris",47.5702283333,7.65052,"inat"
"Bombus terrestris",46.4421727847,7.4691135809,"inat"
"Bombus terrestris",47.4670562744,9.5537576675,"inat"
"Bombus terrestris",47.5986705229,9.0350794418,"inat"
"Bombus terrestris",47.3364197334,8.436560221,"inat"
"Bombus terrestris",47.1522531,7.4039324,"inat"
"Bombus terrestris",46.3945072,6.9221073,"inat"
"Bombus terrestris",46.9533666667,7.4453638889,"inat"
"Bombus terrestris",46.5186347961,6.6003727913,"inat"
"Bombus terrestris",46.2054866667,6.1275445,"inat"
"Bombus terrestris",47.3212838016,8.5817984162,"inat"
"Bombus terrestris",46.1645361667,8.76852,"inat"
"Bombus terrestris terrestris",46.165795224,6.1782233258,"inat"
"Bombus terrestris",47.4050216667,8.5609216667,"inat"
"Bombus terrestris",47.403755,8.0507611667,"inat"
"Bombus terrestris",45.8966674805,8.9422473907,"inat"
"Bombus terrestris",47.35975,8.2671333333,"inat"
"Bombus terrestris",47.34625,8.2853533333,"inat"
"Bombus terrestris",46.00415555,8.956805,"inat"
"Bombus terrestris",47.3273053476,7.9738697848,"inat"
"Bombus terrestris",47.4858009,8.6007289,"inat"
"Bombus terrestris",46.5038376997,6.4767421,"inat"
"Bombus terrestris",47.2320134031,8.8896108046,"inat"
"Bombus terrestris",47.4131631555,8.5590443015,"inat"
"Bombus terrestris",46.7478444444,7.6473111111,"inat"
"Bombus terrestris",46.2822716667,6.1583166667,"inat"
"Bombus terrestris",46.97489,7.1954365,"inat"
"Bombus terrestris",47.5830608065,7.6636312125,"inat"
"Bombus terrestris",46.0903027778,7.0620722222,"inat"
"Bombus terrestris",46.9682189047,7.1955685212,"inat"
"Bombus terrestris",47.4642506,8.6415213,"inat"
"Bombus terrestris",47.30927,9.4337833333,"inat"
"Bombus terrestris",47.469412,8.1631666,"inat"
"Bombus terrestris",46.6916682,7.6623790997,"inat"
"Bombus terrestris",46.2096333333,6.1509111667,"inat"
"Bombus terrestris",47.469412,8.1631666,"inat"
"Bombus terrestris",47.469412,8.1631666,"inat"
"Bombus terrestris",47.469412,8.1631666,"inat"
"Bombus terrestris",46.9458133494,7.4027795345,"inat"
"Bombus terrestris",46.8361908646,7.5788360462,"inat"
"Bombus terrestris",47.4915965896,7.8058976988,"inat"
"Bombus terrestris",46.9544434827,7.407763917,"inat"
"Bombus terrestris",47.406211853,9.4784355164,"inat"
"Bombus terrestris",46.5152499663,6.5394327097,"inat"
"Bombus terrestris",46.588655,6.6119083333,"inat"
"Bombus terrestris",47.5308559,7.8125089,"inat"
"Bombus terrestris",46.7929229736,7.156150341,"inat"
"Bombus terrestris",46.1313166667,8.734275,"inat"
"Bombus terrestris",47.2724424928,8.3487276571,"inat"
"Bombus terrestris",47.3940441428,7.8585788536,"inat"
"Bombus terrestris",47.5123684838,7.7658691782,"inat"
"Bombus terrestris",46.5137034079,6.6249506957,"inat"
"Bombus terrestris",47.3994111111,9.3481388889,"inat"
"Bombus terrestris",47.4379833333,9.1371305,"inat"
"Bombus terrestris",46.9523666667,7.4600783333,"inat"
"Bombus terrestris",47.3218783333,8.5500166667,"inat"
"Bombus terrestris",46.5137133333,6.6226116667,"inat"
"Bombus terrestris",46.1738183439,8.7557438014,"inat"
"Bombus terrestris",47.4790491,7.6170412,"inat"
"Bombus terrestris",47.4176819139,7.7148879762,"inat"
"Bombus terrestris",46.6880377997,7.6858690997,"inat"
"Bombus terrestris",46.2925590212,7.0290642936,"inat"
"Bombus terrestris",46.6407861111,10.3246361111,"inat"
"Bombus terrestris",46.1553105171,8.863820487,"inat"
"Bombus terrestris",47.2460092997,8.6443703997,"inat"
"Bombus terrestris",46.5770430782,6.6409560766,"inat"
"Bombus terrestris",46.7856338236,7.3802480645,"inat"
"Bombus terrestris",47.1653680664,8.1126341969,"inat"
"Bombus terrestris",46.4636111111,8.9416666667,"inat"
"Bombus terrestris",47.1567428546,7.2689303733,"inat"
"Bombus terrestris",46.1337780924,7.0879773796,"inat"
"Bombus terrestris",46.5152141042,6.5753117428,"inat"
"Bombus terrestris",46.3740119934,6.1680278778,"inat"
"Bombus terrestris",47.5986377269,9.0350956003,"inat"
"Bombus terrestris",46.51966634,6.57298488,"inat"
"Bombus terrestris",46.4670568753,6.8891063333,"inat"
"Bombus terrestris",46.9842095997,6.8950262,"inat"
"Bombus terrestris",47.4276181896,7.7610852775,"inat"
"Bombus terrestris",46.5380598653,6.6387948766,"inat"
"Bombus terrestris",47.3685613997,8.7190879997,"inat"
"Bombus terrestris",47.5376510611,7.714414098,"inat"
"Bombus terrestris",47.4486783333,8.58578,"inat"
"Bombus terrestris",46.7928237915,7.156226635,"inat"
"Bombus terrestris",46.5067538047,6.6270102561,"inat"
"Bombus terrestris",46.506711114,6.6269710287,"inat"
"Bombus terrestris",46.5066845766,6.6270129383,"inat"
"Bombus terrestris",47.202725,9.3025533333,"inat"
"Bombus terrestris",46.2037685528,6.1536063999,"inat"
"Bombus terrestris",46.2258397761,6.145103462,"inat"
"Bombus terrestris",47.4372116667,9.253745,"inat"
"Bombus terrestris",47.4834166667,9.1828716667,"inat"
"Bombus terrestris",46.2064430505,5.9935736063,"inat"
"Bombus terrestris",46.2038869873,6.0856943348,"inat"
"Bombus terrestris",47.2887321126,8.1965410709,"inat"
"Bombus terrestris",46.8308830261,9.4421510696,"inat"
"Bombus terrestris",46.506405,6.6359366667,"inat"
"Bombus terrestris",46.5307666667,6.6483133333,"inat"
"Bombus terrestris",47.2688160426,8.6878824833,"inat"
"Bombus terrestris",47.2688128575,8.6879347864,"inat"
"Bombus terrestris",46.2471305556,6.2314472222,"inat"
"Bombus terrestris",47.5667583976,7.8449540958,"inat"
"Bombus terrestris",47.5682037521,7.8443521147,"inat"
"Bombus terrestris",46.3487756898,7.0705884473,"inat"
"Bombus terrestris",47.16897,8.1077195,"inat"
"Bombus terrestris",47.2451787,8.5080623,"inat"
"Bombus terrestris",46.3914313954,6.9464730844,"inat"
"Bombus terrestris",47.3355813,8.5073095997,"inat"
"Bombus terrestris",47.53088,7.81248,"inat"
"Bombus terrestris",46.4571595284,7.4429104105,"inat"
"Bombus terrestris",46.9445020556,8.4263596944,"inat"
"Bombus terrestris",46.6803333333,7.6634666667,"inat"
"Bombus terrestris",47.3659057617,8.5496072769,"inat"
"Bombus terrestris",46.8449396791,6.6822477872,"inat"
"Bombus terrestris",47.268895,8.687855,"inat"
