"species","latitude","longitude","source"
"Dactylorhiza sambucina",46.445175,8.845233,"gbif"
"Dactylorhiza sambucina",46.4476,8.843061,"gbif"
"Dactylorhiza sambucina",46.092258,7.181545,"gbif"
"Dactylorhiza sambucina",46.356482,8.020248,"gbif"
"Dactylorhiza sambucina",46.128156,7.148178,"gbif"
"Dactylorhiza sambucina",46.359073,8.022139,"gbif"
"Dactylorhiza sambucina",46.128206,7.148275,"gbif"
"Dactylorhiza sambucina",46.43637,6.098405,"gbif"
"Dactylorhiza sambucina",46.436378,6.098385,"gbif"
"Dactylorhiza sambucina",46.29787,7.92533,"gbif"
"Dactylorhiza sambucina",46.29787,7.92533,"gbif"
"Dactylorhiza sambucina",46.11862,7.1476,"gbif"
"Dactylorhiza sambucina",46.33752,8.64005,"gbif"
"Dactylorhiza sambucina",46.33752,8.64005,"gbif"
"Dactylorhiza sambucina",46.11843,7.08292,"gbif"
"Dactylorhiza sambucina",46.1636,7.14736,"gbif"
"Dactylorhiza sambucina",46.11843,7.08292,"gbif"
"Dactylorhiza sambucina",46.11843,7.08292,"gbif"
"Dactylorhiza sambucina",46.12,7.14,"gbif"
"Dactylorhiza sambucina",46.12,7.14,"gbif"
"Dactylorhiza sambucina",46.12,7.14,"gbif"
"Dactylorhiza sambucina",46.12,7.14,"gbif"
"Dactylorhiza sambucina",46.12,7.14,"gbif"
"Dactylorhiza sambucina",46.351281,8.022411,"gbif"
"Dactylorhiza sambucina",46.134629,7.085629,"gbif"
"Dactylorhiza sambucina",46.125186,7.081631,"gbif"
"Dactylorhiza sambucina",46.072505,7.148829,"gbif"
"Dactylorhiza sambucina",46.11843,7.08292,"gbif"
"Dactylorhiza sambucina",46.20891,7.34147,"gbif"
"Dactylorhiza sambucina",46.16375,7.21209,"gbif"
"Dactylorhiza sambucina",46.11843,7.08292,"gbif"
"Dactylorhiza sambucina",46.11843,7.08292,"gbif"
"Dactylorhiza sambucina",46.11843,7.08292,"gbif"
