"eco_code","species","latitude","longitude","source","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","elevation"
5,"Dactylorhiza sambucina",46.2443862686,7.1443609592,"inat","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2567
5,"Bombus terrestris",46.4903908714,7.6205415311,"inat","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2431
18,"Bombus terrestris",46.3326222222,7.4824138889,"inat","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",2134
18,"Dactylorhiza sambucina",46.34333,7.79584,"gbif","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",2178
29,"Dactylorhiza sambucina",46.3376805556,7.4756888889,"inat","Polar","Moist","Forest","Mountains","Polar Moist",107,103,74,"Polar Moist Forest on Mountains","#6B674A",2172
56,"Bombus terrestris",46.6407861111,10.3246361111,"inat","Boreal","Moist","Grassland","Mountains","Boreal Moist",1,107,0,"Boreal Moist Grassland on Mountains","#016B00",2197
96,"Dactylorhiza sambucina",46.1670561308,8.1098140852,"inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1535
96,"Dactylorhiza sambucina",46.4871379584,8.6124034971,"inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1764
96,"Dactylorhiza sambucina",46.1099179424,7.2034239935,"inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",2036
96,"Dactylorhiza sambucina",46.486786844,8.4718440961,"inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1642
96,"Dactylorhiza sambucina",46.1099179424,7.2034239935,"inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",2036
96,"Dactylorhiza sambucina",46.4865908566,8.6149086803,"inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1700
96,"Dactylorhiza sambucina",46.3512806316,8.0224105675,"inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1333
96,"Dactylorhiza sambucina",46.351281,8.022411,"gbif","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1333
96,"Dactylorhiza sambucina",46.2180796725,8.0358094226,"inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1688
96,"Dactylorhiza sambucina",46.5376080436,8.5817062882,"inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1644
96,"Dactylorhiza sambucina",46.1948166667,7.1404472222,"inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1975
97,"Dactylorhiza sambucina",46.445175,8.8452333333,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",935
97,"Dactylorhiza sambucina",46.3702910537,8.2175218002,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1602
97,"Dactylorhiza sambucina",46.11862,7.1476,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",875
97,"Dactylorhiza sambucina",46.5938097691,6.3283698742,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1459
97,"Dactylorhiza sambucina",46.4224721039,8.5215383176,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1318
97,"Dactylorhiza sambucina",46.128156,7.148178,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",602
97,"Dactylorhiza sambucina",46.20891,7.34147,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",702
97,"Dactylorhiza sambucina",46.4831083333,6.1369583333,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1364
97,"Dactylorhiza sambucina",46.33357,7.70578,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1878
97,"Dactylorhiza sambucina",46.485,8.9477777778,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",816
97,"Dactylorhiza sambucina",46.3012529502,8.0424812453,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1601
97,"Dactylorhiza sambucina",46.4729336799,6.1131573261,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1382
