"eco_code","species","latitude","longitude","source","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","elevation","tmax_mean_c","prec_mean_annual","NDVI"
5,"Dactylorhiza sambucina",46.2443862686,7.1443609592,"inat","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2567,2.01153846153852,151,0.58130859375
5,"Bombus terrestris",46.4903908714,7.6205415311,"inat","Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2431,3.01153846153846,159.769230769231,0.697796826171875
18,"Bombus terrestris",46.3326222222,7.4824138889,"inat","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",2134,4.61153846153849,122.538461538462,0.398851123046875
18,"Dactylorhiza sambucina",46.4016591667,8.0830497222,"inat","Polar","Moist","Grassland","Mountains","Polar Moist",191,167,132,"Polar Moist Grassland on Mountains","#BFA784",2186,2.84230769230771,180.461538461538,0.367614697265625
29,"Dactylorhiza sambucina",46.3376805556,7.4756888889,"inat","Polar","Moist","Forest","Mountains","Polar Moist",107,103,74,"Polar Moist Forest on Mountains","#6B674A",2172,3.75769230769237,132.307692307692,0.502028173828125
56,"Bombus terrestris",46.6407861111,10.3246361111,"inat","Boreal","Moist","Grassland","Mountains","Boreal Moist",1,107,0,"Boreal Moist Grassland on Mountains","#016B00",2197,3.94230769230774,83.5384615384615,0.787434765625
96,"Dactylorhiza sambucina",46.5376080436,8.5817062882,"inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1644,6.15000000000003,177.923076923077,0.70014501953125
96,"Dactylorhiza sambucina",46.1948166667,7.1404472222,"inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1975,4.92692307692312,160.076923076923,0.540562255859375
96,"Dactylorhiza sambucina",46.4865908566,8.6149086803,"inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1700,5.71923076923082,215.769230769231,0.8292681640625
96,"Dactylorhiza sambucina",46.4871379584,8.6124034971,"inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1764,5.71923076923082,215.769230769231,0.88220859375
96,"Dactylorhiza sambucina",46.3512806316,8.0224105675,"inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1333,8.47307692307697,111.923076923077,0.64859150390625
96,"Dactylorhiza sambucina",46.486786844,8.4718440961,"inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1642,6.09615384615387,209.538461538462,1.14192216796875
96,"Dactylorhiza sambucina",46.2180796725,8.0358094226,"inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1688,6.25000000000006,140.230769230769,0.501296533203125
96,"Dactylorhiza sambucina",46.1670561308,8.1098140852,"inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1535,6.8346153846154,142.076923076923,0.500580859375
96,"Dactylorhiza sambucina",46.1099179424,7.2034239935,"inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",2036,4.29615384615386,123.923076923077,0.479934912109375
96,"Dactylorhiza sambucina",46.351281,8.022411,"gbif","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",1333,8.47307692307697,111.923076923077,0.64859150390625
96,"Dactylorhiza sambucina",46.1099179424,7.2034239935,"inat","Cool Temperate","Moist","Shrubland","Mountains","Cool Temperate Moist",35,83,0,"Cool Temperate Moist Shrubland on Mountains","#235300",2036,4.29615384615386,123.923076923077,0.479934912109375
97,"Dactylorhiza sambucina",46.43637,6.098405,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1416,9.36538461538464,144.384615384615,0.433836328125
97,"Dactylorhiza sambucina",45.9638461099,7.1240396165,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1671,7.78076923076929,137.615384615385,0.753998779296875
97,"Dactylorhiza sambucina",46.122375,7.0709777778,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",517,15.1038461538462,71.8461538461538,0.250236108398438
97,"Dactylorhiza sambucina",46.11862,7.1476,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",875,13.0730769230769,79.7692307692308,0.255306665039063
97,"Dactylorhiza sambucina",46.436378,6.098385,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1416,9.36538461538464,144.384615384615,0.433836328125
97,"Dactylorhiza sambucina",46.53,8.8469444444,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1638,6.56538461538463,167.230769230769,0.732374267578125
97,"Dactylorhiza sambucina",46.4308366667,6.1251883333,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1488,9.02692307692314,143.230769230769,0.460548046875
97,"Dactylorhiza sambucina",46.4476,8.843061,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",952,11.5115384615385,99,0.344892431640625
97,"Dactylorhiza sambucina",46.33752,8.64005,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1566,8.51923076923083,140.923076923077,0.462914453125
97,"Dactylorhiza sambucina",46.072505,7.148829,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",848,12.4961538461539,91.0769230769231,0.554735595703125
97,"Dactylorhiza sambucina",46.356482,8.020248,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1590,8.47307692307697,111.923076923077,0.564855029296875
97,"Dactylorhiza sambucina",46.252725,7.8339166667,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",2057,4.65769230769234,105.538461538462,0.440257958984375
97,"Dactylorhiza sambucina",46.359073,8.022139,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1617,6.21153846153851,125.307692307692,0.6866248046875
97,"Dactylorhiza sambucina",46.4732719449,6.1142035166,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1382,9.51153846153846,137.615384615385,0.4245349609375
97,"Dactylorhiza sambucina",46.4450216667,6.096925,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1249,10.15,141.461538461538,0.4340845703125
97,"Dactylorhiza sambucina",46.1411046356,6.9902651757,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1452,6.90384615384619,155.230769230769,0.61517890625
97,"Dactylorhiza sambucina",46.3404784481,7.7265000343,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1910,5.85769230769233,107.307692307692,0.7926517578125
97,"Dactylorhiza sambucina",46.0725047436,7.1488288584,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",848,12.4961538461539,91.0769230769231,0.554735595703125
